
2024/07/03 (00:01:18) | ===> btop++ v.1.3.2
2024/07/03 (00:01:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/04 (22:20:34) | ===> btop++ v.1.3.2
2024/07/04 (22:20:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/05 (14:02:02) | ===> btop++ v.1.3.2
2024/07/05 (14:02:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/06 (17:16:04) | ===> btop++ v.1.3.2
2024/07/06 (17:16:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/06 (17:20:09) | ===> btop++ v.1.3.2
2024/07/06 (17:20:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/06 (17:23:41) | ===> btop++ v.1.3.2
2024/07/06 (17:23:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/06 (20:44:04) | ===> btop++ v.1.3.2
2024/07/06 (20:44:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/06 (20:46:18) | ===> btop++ v.1.3.2
2024/07/06 (20:46:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/07 (22:44:20) | ===> btop++ v.1.3.2
2024/07/07 (22:44:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/08 (15:17:14) | ===> btop++ v.1.3.2
2024/07/08 (15:17:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/10 (10:08:39) | ===> btop++ v.1.3.2
2024/07/10 (10:08:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/10 (11:56:16) | ===> btop++ v.1.3.2
2024/07/10 (11:56:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/10 (21:42:49) | ===> btop++ v.1.3.2
2024/07/10 (21:42:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
